es,en
fco. x 400 g (VL),fco. x 400 g (VL)
fco. x 50 ml (VL),fco. x 50 ml (VL)
fco.+jga.prell.x 0.5 ml,fco.+jga.prell.x 0.5 ml
fco.a.x 1 x 2 ml,fco.a.x 1 x 2 ml
fco.bomba dosif.x 8 ml,fco.dosing pump x 8 ml
fco.c/bomb.disp.x 125 ml (VL),fco.c/bomb.disp.x 125 ml (VL)
fco.c/pincel aplic.x 5ml (VL),fco.c/brush app.x 5ml (VL)
fco.got.sol.oft.x 2.5ml,fco.got.sol.oft.x 2.5ml
fco.gotero x 15 ml,fco.dropper x 15 ml
fco.gotero x 15 ml (VL),fco.dropper x 15 ml (VL)
fco.gotero x 3 ml,fco.dropper x 3 ml
fco.gotero x 30 ml,fco.dropper x 30 ml
fco.gotero x 45 ml (VL),fco.dropper x 45 ml (VL)
fco.gotero x 6 ml,fco.dropper x 6 ml
fco.gotero x 8 ml (VL),fco.dropper x 8 ml (VL)
fco.gotero x 9 ml,fco.dropper x 9 ml
fco.mds.x 1 x 0.5 ml,fco.mds.x 1 x 0.5 ml
fco.plast.x 100 g (VL),fco.plast.x 100 g (VL)
fco.vial x 50 ml,fco.vial x 50 ml
fco.x 1 x 45 ml,fco.x 1 x 45 ml
fco.x 100 ml (VL),fco.x 100 ml (VL)
fco.x 110 ml (VL),fco.x 110 ml (VL)
fco.x 120 ml (VL),fco.x 120 ml (VL)
fco.x 15 ml,fco.x 15 ml
fco.x 150 ml,fco.x 150 ml
fco.x 2 (VL),fco.x 2 (VL)
fco.x 2 x 45 ml,fco.x 2 x 45 ml
fco.x 200 ml,fco.x 200 ml
fco.x 200 ml c/dosif.,fco.x 200 ml c/dosif.
fco.x 240 ml (VL),fco.x 240 ml (VL)
fco.x 3 ml,fco.x 3 ml
fco.x 3 ml+60 aplic.est.,fco.x 3 ml+60 app.est.
fco.x 4 x 35 ml (VL),fco.x 4 x 35 ml (VL)
fco.x 5 ml,fco.x 5 ml
fco.x 5 ml+60 aplic.est.,fco.x 5 ml+60 app.est.
fco.x 500 ml,fco.x 500 ml
fco.x 660 ml (VL),fco.x 660 ml (VL)
fco.x 7 ml (VL),fco.x 7 ml (VL)
fco.x 75 ml (VL),fco.x 75 ml (VL)
febuxostat,febuxostat
fem gel x 60 g (VL),fem gel x 60 g (VL)
fem.CH08 long.20 cm x30 (VL),fem.CH08 long.20 cm x30 (VL)
fem.CH10 long.20 cm x30 (VL),fem.CH10 long.20 cm x30 (VL)
fem.CH12 long.20 cm x30 (VL),fem.CH12 long.20 cm x30 (VL)
female CH06 long. 7 cm (VL),female CH06 length 7 cm (VL)
female CH08 long. 7 cm (VL),female CH08 length 7 cm (VL)
fenazopiridina,phenazopyridine
fenilalanina,phenylalanine
fenoterol,fenoterol
fexofenadina+betametasona,fexofenadine+betamethasone
fexofenadina+montelukast,fexofenadine+montelukast
fibra prebiotica,prebiotic fiber
fibras dietarias,dietary fibers
fibras+vit.b6+vit.c,fibers+vit. b6+vit. c
Fija+Mas c/aplic.x 70 ml,Fix+More w/app. x 70 ml
Fija+Mas hie.20vol.x70ml,Fix+More water.20vol.x70ml
Fija+Mas hie.20vol.x75ml,Fix+More water.20vol.x75ml
Fija+Mas hie.20volx150ml,Fix+More water.20volx150ml
Fija+Mas hie.30vol.x70ml,Fix+More water.30vol.x70ml
Fija+Mas hie.30vol.x75ml,Fix+More water.30vol.x75ml
Fija+Mas/prot.20volx70ml,Fix+More/prot.20volx70ml
Fija+Mas/prot.30volx70ml,Fix+More/prot.30volx70ml
Fija+Mas/prot.30volx75ml,Fix+More/prot.30volx75ml
filgrastim peguilado,pegylated filgrastim
filler 40 cm/2 g x 1 u. (VL),filler 40 cm/2 g x 1 unit (VL)
filler 40 cm/2g x1 unid. (VL),filler 40 cm/2 g x 1 unit (VL)
filler instant.cr.x 30 g (VL),filler instant.cr.x 30 g (VL)
fino c/cera menta 50 m,fine with mint wax 50 m
fino s/cera x 50 m,fine wax-free x 50 m
firmeza x 400 ml (VL),firmness x 400 ml (VL)
flavonoides+asoc.,flavonoids+assoc.
flex recharge bsa.x 380g (VL),flex recharge bsa.x 380g (VL)
flex sob.x 10 (VL),flex over.x 10 (VL)
flex sob.x 30 x 12.65 g (VL),flex sob.x 30 x 12.65 g (VL)
fliar.c/4boq.+acces.limp (VL),fliar.c/4boq.+acces.limp (VL)
flow gel x 60 g (VL),flow gel x 60 g (VL)
fludrocortisona,fludrocortisone
fluid x 50 ml (VL),fluid x 50 ml (VL)
fluido alisante x 30 ml,smoothing fluid x 30 ml
fluido aromat.cr.x 30 ml,aromat.cr. fluid x 30 ml
fluido hidratante x30ml,moisturizing fluid x30ml
flunarizina,flunarizine
fluorometolona+asoc.,fluorometholone+assoc.
flutamida,flutamide
fluticasona+oximetazolina clorh.,fluticasone+oxymetazoline chlorh.
"fluticasona,furoato",fluticasone furoate
"fluticasona,propionato",fluticasone propionate
form.para enf.inflamatorias,form.for inflammatory diseases
Fort.leche materna p/prematuros,Fort. breast milk for premature babies
Fortalecedor ungueal,Nail strengthener
forte comp.x 10,forte comp.x 10
forte HF jab.x 80 g (VL),forte HF jab.x 80 g (VL)
fosaprepitant dimeglumina,fosaprepitant dimeglumine
fosfomicina,fosfomycin
fostemsavir,fostemsavir
FPS 15 pouch x 10 x 8 g (VL),FPS 15 pouch x 10 x 8 g (VL)
FPS 15 pouch x 4 x 8 g (VL),FPS 15 pouch x 4 x 8 g (VL)
FPS 15 pouch x 8 g (VL),FPS 15 pouch x 8 g (VL)
FPS 20 gel x 70 g (VL),SPF 20 gel x 70 g (VL)
FPS 30 cr.x 60 g (VL),FPS 30 cr.x 60 g (VL)
FPS 30 crema x 50 g (VL),SPF 30 cream x 50 g (VL)
FPS 30 x 118 ml (VL),SPF 30 x 118 ml (VL)
FPS 35 pouch x 10 x 8 g (VL),FPS 35 pouch x 10 x 8 g (VL)
FPS 35 pouch x 4 x 8 g (VL),FPS 35 pouch x 4 x 8 g (VL)
FPS 35 pouch x 8 g (VL),FPS 35 pouch x 8 g (VL)
FPS 40 pantalla x 60 g (VL),FPS 40 screen x 60g (VL)
FPS 50 cr. x 50 g (VL),FPS 50 cr. x 50 g (VL)
FPS 50+ env.x 70 g (VL),SPF 50+ env.x 70 g (VL)
FPS 55 cr.x 50 g (VL),FPS 55 cr.x 50 g (VL)
FPS 55 emul. x 45 g (VL),SPF 55 emul. x 45 g (VL)
FPS 55 emul.c/color x45g (VL),SPF 55 emul.c/color x45g (VL)
FPS 65 pomo x 40 g (VL),FPS 65 bottle x 40 g (VL)
FPS 65 pouch x 10 x 8 g (VL),FPS 65 pouch x 10 x 8 g (VL)
FPS 65 pouch x 4 x 8 g (VL),FPS 65 pouch x 4 x 8 g (VL)
FPS 65 pouch x 8 g (VL),FPS 65 pouch x 8 g (VL)
FPS+50 brocha x 2 g (VL),FPS+50 brush x 2 g (VL)
FPS50 cr. facial x 50 g (VL),SPF50 facial cream x 50 g (VL)
FPS50 cr.fac.c/col x 50g (VL),FPS50 cr.fac.c/col x 50g (VL)
FPS50 spray fluido x 75g (VL),FPS50 fluid spray x 75g (VL)
FPS50+ claro x 40 ml (VL),SPF50+ clear x 40 ml (VL)
FPS50+ dorado x 40 ml (VL),FPS50+ gold x 40 ml (VL)
FPS50+ inv. x 40 ml (VL),FPS50+ inv. x 40 ml (VL)
FPS50+ neutro x 40 ml (VL),Neutral SPF50+ x 40 ml (VL)
FPS50+ t.02 x 40 ml (VL),FPS50+ t.02 x 40 ml (VL)
FPS50+ t.03 x 40 ml (VL),FPS50+ t.03 x 40 ml (VL)
fr. x 183 g (VL),fr. x 183 g (VL)
fr. x 2 x 70 g,fr. x 2 x 70 g
fr.loc.x 60 ml,fr.loc.x 60 ml
Fr.Rojos past.dent.+cep. (VL),Fr.Rojos toothpaste+brush (VL)
fr.x 2 de 177 ml c/u,fr.x 2 of 177 ml each
fr.x 200 ml (VL),fr.x 200 ml (VL)
frambuesa env.x 250 ml (VL),raspberry env.x 250 ml (VL)
frambuesa env.x 500 ml (VL),raspberry env.x 500 ml (VL)
frasco x 100 ml,100 ml bottle
frasco x 120 ml (VL),bottle x 120 ml (VL)
frasco x 150 ml,150 ml bottle
frasco x 3.3 ml,bottle x 3.3 ml
frasco x 5 ml,5 ml bottle
frasco x 70 ml (VL),bottle x 70 ml (VL)
fremanezumab-vfrm,fremanezumab-vfrm
frescura cr. x 150 g (VL),cr. freshness x 150 g (VL)
frescura cr. x 70 g (VL),cr. freshness x 70 g (VL)
Fresh Mint env.x250ml (VL),Fresh Mint env.x250ml (VL)
freshmint desod.buc.x9ml (VL),freshmint deodorant.buc.x9ml (VL)
fruit punch env.x 220 g (VL),fruit punch env.x 220 g (VL)
fruit punch env.x 400 g (VL),fruit punch env.x 400 g (VL)
fruit punch env.x 540 g (VL),fruit punch env.x 540 g (VL)
frut.50 mg comp.mast.x 2,fruit.50 mg comp.mast.x 2
frut.50 mg comp.mast.x30,fruit.50 mg comp.mast.x30
frut.past.mast.x50gx12u. (VL),frut.past.mast.x50gx12u. (VL)
frut.silv.comp.mast.x 24 (VL),frut.silv.comp.mast.x 24 (VL)
fruta blist.x 12 (VL),fruit blister x 12 (VL)
frutilla caja x 12 x 32g (VL),strawberry box x 12 x 32g (VL)
frutilla caja x 6 x 32 g (VL),strawberry box x 6 x 32 g (VL)
frutilla comp.mast.x 96 (VL),strawberry comp.mast.x 96 (VL)
frutilla comp.mast.x12 (VL),strawberry comp.mast.x12 (VL)
Frutilla eferv.est.x 40g (VL),Strawberry effervescent tablet 40g (VL)
frutilla fco.x 180 ml (VL),strawberry fco.x 180 ml (VL)
frutilla fco.x 390 ml (VL),strawberry fco.x 390 ml (VL)
frutilla past.mast.x 50g (VL),strawberry past.mast.x 50g (VL)
frutilla sob.x 12 (VL),strawberry over 12 (VL)
frutilla x 1 lb.(453 g) (VL),strawberry x 1 lb. (453 g) (VL)
frutilla x 1 x 32 g (VL),strawberry x 1 x 32 g (VL)
frutilla x 2 lb.(930 g) (VL),strawberry x 2 lb. (930 g) (VL)
frutilla x 250 g (VL),strawberry x 250 g (VL)
Frutilla x 60 g (VL),Strawberry x 60 g (VL)
frutilla/crema barra x 1 (VL),strawberry/cream bar x 1 (VL)
frutilla/crema caja x 16 (VL),strawberry/cream box x 16 (VL)
frutos del bosq.saq.x 20 (VL),fruits of the forest saq.x 20 (VL)
frutos del bosque x 390g (VL),forest fruits x 390g (VL)
frutos trop.env.x 200 ml (VL),tropical fruits env.x 200 ml (VL)
fumador x 50 g (VL),smoker x 50 g (VL)
fumador x 675g (VL),smoker x 675g (VL)
fusion fluid.x 50 ml (VL),fusion fluid.x 50 ml (VL)
G15hipert.cl.sod.20%20ml,G15hipert.cl.sod.20%20ml
G49 a.x 50 x 10 ml,G49 a.x 50 x 10 ml
G50 sulf.mag. a.x50 x5ml,G50 sulf.mag. a.x50 x5ml
G51 sulf.mag. a.x100x5ml,G51 sulf.mag. a.x100x5ml
G52 sulf.mag.x 10 ml,G52 sulf.mag.x 10 ml
G55 sulf.cobre x 10 ml,G55 copper sulfide x 10 ml
G57 sulf.cinc x 10 ml,G57 zinc sulfide x 10 ml
G58 clor.cromo x 10 ml,G58 chlor.chromium x 10 ml
G59 sulf.mang.x 10 ml,G59 sulf.mang.x 10 ml
G60 molib.amon.x 10 ml,G60 molib.amon.x 10 ml
G63 fosf.sod.x 10ml,G63 fosf.sod.x 10ml
G65 fosf.pot.x 10 ml,G65 fosf.pot.x 10 ml
"gadoxetato,sodio","gadoxetate, sodium"
galsulfasa,galsulfase
ganirelix,ganirelix
"gatifloxacina+prednisolona,acet.","gatifloxacin+prednisolone,acet."
gel 0.1% x 30 g,0.1% gel x 30 g
gel 0.3% x 30 g,0.3% gel x 30 g
gel 2% x 40 g,2% gel x 40 g
gel antiarrugas x 18 g (VL),anti-wrinkle gel x 18 g (VL)
gel bioadhes.bucof. x20g (VL),bioadhes.bucof gel. x20g (VL)
gel bomba dosif.x 30 g,pump-dosing gel x 30 g
gel bronc.FPS 3 x 150 ml (VL),Bronzing gel SPF 3 x 150 ml (VL)
gel capilar x 20 g,hair gel x 20 g
gel cr. x 226 g (VL),cr. gel x 226 g (VL)
gel cr. x 453 g (VL),cr. gel x 453 g (VL)
gel cr.anticel.x 200 g (VL),cr.anticel.x gel 200 g (VL)
gel crema x 50 g (VL),cream gel x 50 g (VL)
gel de ducha x 250 g (VL),shower gel x 250 g (VL)
gel de higiene x 250 ml (VL),hygiene gel x 250 ml (VL)
gel demulcente x 75 g (VL),demulcent gel x 75 g (VL)
gel dental x 40 ml (VL),dental gel x 40 ml (VL)
gel derm. x 60 g.,derm gel. x 60 g.
gel dosif. simult. x 30g,simultaneous dosing gel x 30g
gel ducha frasco x 125ml (VL),shower gel bottle x 125ml (VL)
gel exfoliante x 60 g (VL),exfoliating gel x 60 g (VL)
gel fuerte rojo x 150 g,strong red gel x 150 g
gel hid.x 70 g (VL),hyd. gel x 70 g (VL)
gel lubricante x 30 g (VL),lubricating gel x 30 g (VL)
gel monodosis x 6 x 3 ml (VL),single-dose gel x 6 x 3 ml (VL)
gel nasal x 15 ml,nasal gel x 15 ml
Gel NF x 30 g (VL),NF Gel x 30 g (VL)
Gel NF x 60 g (VL),NF Gel x 60 g (VL)
gel oft.en gotas x 10 ml,Ophthalmic gel in drops x 10 ml
gel oft.x 10 ml,eye gel 10 ml
gel oil x 75 ml (VL),gel oil x 75 ml (VL)
gel oral x 40 g,oral gel x 40 g
gel pomo x 15 g + aplic.,gel knob x 15 g + app.
gel pomo x 150 g (VL),gel knob x 150 g (VL)
gel pomo x 50 ml (VL),50 ml pump gel (VL)
gel post solar x 100 g (VL),post-sun gel x 100 g (VL)
gel purificante x 125 g (VL),purifying gel x 125 g (VL)
gel sob.x 30 x 5 g,gel sachet x 30 x 5 g
gel suave azul x 150 g,blue soft gel x 150 g
gel x 1000 ml (VL),gel x 1000 ml (VL)
gel x 105 g (VL),gel x 105 g (VL)
gel x 113 ml (VL),gel x 113 ml (VL)
gel x 15 g (VL),gel x 15 g (VL)
gel x 15 g x 1 unid. (VL),gel x 15 g x 1 unit (VL)
gel x 150 ml (VL),gel x 150 ml (VL)
gel x 190 ml (VL),gel x 190 ml (VL)
gel x 200 g (VL),gel x 200 g (VL)
gel x 220 g. (VL),gel x 220 g. (VL)
gel x 240 ml (VL),gel x 240 ml (VL)
gel x 25 g,gel x 25 g
gel x 25 g x 1 unid. (VL),gel x 25 g x 1 unit (VL)
gel x 250 ml (VL),gel x 250 ml (VL)
gel x 30 g c/valv.dosif. (VL),30 g gel with dosing valve (VL)
gel x 30 g pump,gel x 30 g pump
gel x 30 gr,gel x 30 gr
gel x 30 ml,gel x 30 ml
gel x 300 ml (VL),gel x 300 ml (VL)
gel x 40 g,gel x 40 g
gel x 450 g (VL),gel x 450 g (VL)
gel x 48 g (VL),gel x 48 g (VL)
gel x 5 g,gel x 5 g
gel x 5 ml (VL),gel x 5 ml (VL)
gel x 500 ml (VL),gel x 500 ml (VL)
gel x 65 g (VL),gel x 65 g (VL)
gel x 70 g (VL),gel x 70 g (VL)
gel x 80 g,gel x 80 g
gel x 90 g (VL),gel x 90 g (VL)
gel-crema x 150 g (VL),gel-cream x 150 g (VL)
gel.x 15 g (VL),gel.x 15 g (VL)
gemtuzumab ozogamicina,gemtuzumab ozogamicin
GEN agua micelar x 200ml (VL),GEN micellar water x 200ml (VL)
GEN cr.matificant x 50 g (VL),GEN cr.matificant x 50 g (VL)
GEN gel facial x 200 ml (VL),GEN facial gel x 200 ml (VL)
GEN microexfol. x 100 g (VL),GEN microexfol. x 100 g (VL)
GEN prot.solar x 50 g (VL),GEN prot.solar x 50 g (VL)
gentamicina+asoc.,gentamicin+assoc.
gentamicina+vit.a+vit.d,gentamicin+vit.a+vit.d
gilteritinib,gilteritinib
ginger grip caram. x 9 (VL),ginger grip caram. x 9 (VL)
gingermint.desod.bu.x9ml (VL),gingermint.desod.bu.x9ml (VL)
ginkgo biloba+vit.e,ginkgo biloba+vit.e
glecaprevir+pibrentasvir,glecaprevir+pibrentasvir
glicirricina+hexilresorcinol+asoc.,glycyrrhizin+hexylresorcinol+asoc.
glicopirronio,glycopyrronium
glicoproteina e de virus de varicela zoster,glycoprotein e of varicella zoster virus
glucomannan+asoc.,glucomannan+assoc.
glucoprot.de enterobacterias,Enterobacteriaceae glucoprotectin
GM cr.x 30 g (VL),GM cr.x 30 g (VL)
gomitas x 25 (VL),gummies x 25 (VL)
gomitas x 60 (VL),gummies x 60 (VL)
gomitas x 90 (VL),gummies x 90 (VL)
gommant gel x 100 ml (VL),rubber gel x 100 ml (VL)
got. x 20 ml,drops x 20 ml
got. x 27 ml (VL),got. x 27 ml (VL)
got. x 50 ml (VL),got. x 50 ml (VL)
gotas x 10 ml (VL),drops x 10 ml (VL)
gotas x 20 ml,drops x 20 ml
gotas x 5 ml,drops x 5 ml
gotas x 8 ml (VL),drops x 8 ml (VL)
gotero incoloro x 60 ml (VL),colorless dropper x 60 ml (VL)
gotero x 30 ml (VL),dropper x 30 ml (VL)
Gradumet 500 mg comp.x20,Gradumet 500 mg tablets x20
Gradumet 500 mg comp.x40,Gradumet 500 mg tablets x 40
grag. x 10 (VL),grag. x 10 (VL)
grag.x 10 (VL),grag.x 10 (VL)
grag.x 100,grag.x 100
grag.x 12,grag.x 12
grag.x 16,grag.x 16
grag.x 30 (VL),grag.x 30 (VL)
grageas x 30 g (VL),30 g dragees (VL)
gran.bolsas x 6 x 15 g (VL),large.bags x 6 x 15 g (VL)
gran.fco.x 100 g,gran.fco.x 100 g
gran.fco.x 200 g,gran.fco.x 200 g
gran.sob.x 20,gran.sob.x 20
gran.sob.x 24 (VL),gran.sob.x 24 (VL)
gran.sobres x 10,large.envelopes x 10
gran.x 75 g,gran.x 75 g
granada aceite x 100 ml,pomegranate oil x 100 ml
granada inspire x 200 ml (VL),pomegranate inspire x 200 ml (VL)
granada regener.x 200 ml (VL),pomegranate regenerator 200 ml (VL)
granulado x 15 g (VL),granules x 15 g (VL)
griseofulvina,griseofulvin
gtas.nro.1 al 30 x 45 ml (VL),gtas.nro.1 al 30 x 45 ml (VL)
gtas.x 15 ml (VL),gtas.x 15 ml (VL)
gtas.x 20 ml,gtas.x 20 ml
gts. x 20 ml,gts. x 20 ml
gts.nasales x 25 ml,nasal gts x 25 ml
gts.nasales x 25 ml (VL),Nasal gts x 25 ml (VL)
gts.oft.prep.extemp.x5ml,gts.oft.prep.extemp.x5ml
gts.oft.x 10 ml (VL),gts.oft.x 10 ml (VL)
gts.oft.x 15 ml,gts.oft.x 15 ml
gts.oft.x 15 ml (VL),gts.oft.x 15 ml (VL)
gts.oft.x 7.5 ml,gts.oft.x 7.5 ml
gts.orales x 60 ml,oral gts x 60 ml
gts.x 3.5 ml,gts.x 3.5 ml
gts.x 4 ml,gts.x 4 ml
gts.x 45 ml,gts.x 45 ml
gts.x 50 ml,gts.x 50 ml
gts.x 50 ml (VL),gts.x 50 ml (VL)
gts.x 60 ml,gts.x 60 ml
gts.x 60 ml (VL),gts.x 60 ml (VL)
gts.x 70 ml (VL),gts.x 70 ml (VL)
guselkumab,guselkumab
hair fco.x 180 g (VL),hair fco.x 180 g (VL)
hairstick x 12 ml,hairstick x 12 ml
hemina humana,human hemin
hexetidina,hexetidine
hexetidina+bencidamina,hexetidine+benzydamine
hexoprenalina,hexoprenaline
hialubot acond.x 400 ml (VL),hialubot acond.x 400 ml (VL)
hialubot shamp. x 400 ml (VL),hialubot shampoo x 400 ml (VL)
hidrat. facial cr.x 50 g (VL),facial moisturizer cr.x 50 g (VL)
hidrat.facial cr.x 60 g (VL),facial moisturizer cr.x 60 g (VL)
Hidratante Autobronceante,Self-Tanning Moisturizer
hidroxiprogesterona,hydroxyprogesterone
hierro bisglicinato,iron bisglycinate
hierro+vitaminas,iron + vitamins
"hierro,fumarato",iron fumarate
"hierro,fumarato+asoc.","iron, fumarate+assoc."
"hierro,sacarosa","iron, sucrose"
higos secos+asoc.,dried figs+assoc.
hilo dental x 25 m (VL),dental floss x 25 m (VL)
hilo dental x 50 m (VL),dental floss x 50 m (VL)
Hipertensor,Hypertensive
Hipouricemiante,Hypouricemic agent
HM 100 UI cart.x 5 x 3ml,HM 100 IU cart.x 5 x 3ml
HM 100UI lap.prellx5x3ml,HM 100UI lap.prellx5x3ml
"homatropina,metilbr.","homatropine,methylbr."
"homatropina,metilbr.+dipirona","homatropine, methylbr.+dipyrone"
"homatropina,metilbr.+simeticona","homatropine,methylbr.+simethicone"
Hormonosupresor,Hormone suppressant
humec.cr.x 100 g oferta (VL),humec.cr.x 100 g offer (VL)
humec.crx90g pcio imbat. (VL),humec.crx90g pcio imbat. (VL)
humect.v2 cr.x 100 g (VL),humect.v2 cr.x 100 g (VL)
humect.v2 cr.x 200 g (VL),humect.v2 cr.x 200 g (VL)
humectante cr.x 100 g (VL),moisturizer cr.x 100 g (VL)
humectante cr.x 200 g (VL),moisturizer cr.x 200 g (VL)
humectante cr.x 50 g (VL),moisturizer cr.x 50 g (VL)
Humectante postparto,Postpartum Moisturizer
humectantes x 40unid. (VL),moisturizers x 40 units (VL)
hydragel ojos refr.x10ml (VL),Hydragel eyes refr.x10ml (VL)
hydramist bru.fac.x100ml (VL),hydramist bru.fac.x100ml (VL)
hydrocotyle bonaerensis+asoc.,hydrocotyle bonaerensis+assoc.
hypers. col. bucal 240ml (VL),hypers. col. bucal 240ml (VL)
hypersensitive gel x100g (VL),hypersensitive gel x100g (VL)
ibuprofeno+difenhidramina,ibuprofen+diphenhydramine
ibuprofeno+pseudoefedrina,ibuprofen + pseudoephedrine
ice env.x 250 ml (VL),ice env.x 250 ml (VL)
ice env.x 500 ml (VL),ice env.x 500 ml (VL)
icodextrina,icodextrin
icy mint desod.buc.x9ml (VL),icy mint deodorant.buc.x9ml (VL)
idarucizumab,idarucizumab
idebenona+nimodipina,idebenone+nimodipine
IgG f.a.x100ml+f.a.x5ml,IgG f.a.x100ml+f.a.x5ml
IgG f.a.x200ml+f.a.x10ml,IgG f.a.x200ml+f.a.x10ml
IgG f.a.x300ml+f.a.x15ml,IgG f.a.x300ml+f.a.x15ml
IgG f.a.x50ml+f.a.x2.5ml,IgG f.a.x50ml+f.a.x2.5ml
imipenem+cilastatina+relebactam,imipenem+cilastatin+relebactam
impl.subc. x2+trocar x1,impl.subc. x2+exchange x1
implante bimens.+jga.x 1,implant bimens.+jga.x 1
implante x 1,implant x 1
Infantil jbe.x 100 ml,Children's jbe.x 100 ml
inh.dosis x 120,inh.dose x 120
inh.HFA+aeroc.x 250ds.,inh.HFA+aeroc.x 250ds.
inh.nasal ds.x 120,nasal inh ds.x 120
inhalador hfa x 250 ds.,hfa inhaler x 250 ds.
inhib.select.de la recapt.de serotonina,selective serotonin reuptake inhibitor
Inhibidor de la betalactamasa,Beta-lactamase inhibitor
Inhibidor de la TYK2,TYK2 inhibitor
inmunocianina,immunocyanin
inotuzumab ozogamicina,inotuzumab ozogamicin
insulina degludec,insulin degludec
insulina detemir,insulin detemir
insulina glulisina,insulin glulisine
int.skincare sob.x30 x4g (VL),int.skincare sachet.x30 x4g (VL)
intense cherry labialx4g (VL),intense cherry lipstick x4g (VL)
intense HA sob.x30 x3.5g (VL),intense HA sachets x30 x3.5g (VL)
inulina+asoc.,inulin+assoc.
iny.a. x100 x 5 ml,inj.a. x100 x 5 ml
iny.a.sol.x 3,inj.a.sol.x 3
iny.a.sol.x 6,inj.a.sol.x 6
iny.a.x 1 ml,inj.a.x 1 ml
iny.a.x 1 x 1 ml,inj.a.x 1 x 1 ml
iny.a.x 1 x 5 ml,inj.a.x 1 x 5 ml
iny.a.x 100 x 0.5 ml,inj.a.x 100 x 0.5 ml
iny.a.x 100 x 3 ml,inj.a.x 100 x 3 ml
iny.a.x 2 x 1 ml,inj.a.x 2 x 1 ml
iny.a.x 200 x 3 ml,inj.a.x 200 x 3 ml
iny.a.x 25 x 2 ml,inj.a.x 25 x 2 ml
iny.a.x 25 x 5 ml,inj.a.x 25 x 5 ml
iny.a.x 3 ml,inj.a.x 3 ml
iny.a.x 5 x 2 ml,inj.a.x 5 x 2 ml
iny.a.x 5 x 3 ml,inj.a.x 5 x 3 ml
iny.a.x 50 x 5 ml,inj.a.x 50 x 5 ml
iny.a.x 7,inj.a.x 7
Iny.f.a.x 1,Inj.f.a.x 1
iny.f.a.x 1,inj.f.a.x 1
iny.f.a.x 1 x 0.5 ml,inj.f.a.x 1 x 0.5 ml
iny.f.a.x 1 x 2 ml+jga.,inj.f.a.x 1 x 2 ml+jga.
iny.f.a.x 1 x 5 ml,inj.f.a.x 1 x 5 ml
iny.f.a.x 1+a.x 1,inj.f.a.x 1+a.x 1
iny.f.a.x 10 x 1 ml,inj.f.a.x 10 x 1 ml
iny.f.a.x 100 x 20 ml,inj.f.a.x 100 x 20 ml
iny.f.a.x 15 ml,inj.f.a.x 15 ml
iny.f.a.x 2 ml + solv.,inj.f.a.x 2 ml + solv.
iny.f.a.x 3 x 2 ml,inj.f.a.x 3 x 2 ml
iny.f.a.x 3/3 x 3 ml,inj.f.a.x 3/3 x 3 ml
iny.f.a.x 4+a.x 4,inj.f.a.x 4+a.x 4
iny.IM a.x 1 ml,inj.IM a.x 1 ml
iny.IM a.x 10,inj.IM a.x 10
iny.IM a.x 5,inj.IM a.x 5
iny.IM a.x 5 x 2 ml,inj.IM a.x 5 x 2 ml
iny.jga.prell.x 0.5 ml,iny.jga.prell.x 0.5 ml
iny.liof.f.a.x 1+jga.,iny.liof.f.a.x 1+jga.
iny.sol.x 10 x 300 ml,inj.sol.x 10 x 300 ml
iny.x 10 ml,inj.x 10 ml
iny.x 20 ml,inj.x 20 ml
iny.x 3 ml,inj.x 3 ml
iny.x 3 x 3 ml,inj.x 3 x 3 ml
iny.x 5 x 3 ml,inj.x 5 x 3 ml
iny.x 6 x 3 ml,inj.x 6 x 3 ml
iodixanol,iodixanol
iodo povacrylex,iodine povacrylex
ipilimumab,ipilimumab
"ipratropio,bromuro+fenoterol",ipratropium bromide + fenoterol
irgasan+asoc.,irgasan+asoc.
irinotecan liposomal pegilado,pegylated liposomal irinotecan
isoefedrina+asoc.,isoephedrine+assoc.
isoflavonas de soja,soy isoflavones
isoflavonas de soja+calcio+vit.+asoc.,soy isoflavones+calcium+vit.+assoc.
isoniacida,isoniazid
"isosorbide,dinitrato",isosorbide dinitrate
IV 500 mg f.a.x 1,IV 500 mg f.a.x 1
IV a.x 25 x 10 ml,IV a.x 25 x 10 ml
IV a.x 6 x 5 ml,IV a.x 6 x 5 ml
IV iny.x 1,IV inj.x 1
ivosidenib,ivosidenib
ixabepilona,ixabepilona
ixekizumab,ixekizumab
jab.antibac.hum.x 240ml (VL),jab.antibac.hum.x 240ml (VL)
jab.antibac.trad.x 240ml (VL),jab.antibac.trad.x 240ml (VL)
jab.antibact. x 90g (VL),Antibacterial jab x 90g (VL)
jab.antibact. x 90g x 3 (VL),Antibacterial jab x 90g x 3 (VL)
jab.balanced care x 90g (VL),jab.balanced care x 90g (VL)
jab.balanced care x90gx3 (VL),jab.balanced care x90gx3 (VL)
jab.c/hifamonil x 80 g (VL),jab.c/hifamonil x 80 g (VL)
jab.c/valv.dosif.x 250ml (VL),jab.w/valv.dosif.x 250ml (VL)
jab.c/valv.dosif.x 500ml (VL),jab.w/valv.dosif.x 500ml (VL)
jab.cremoso x 90g (VL),creamy soap x 90g (VL)
jab.cremoso x 90g x 3 (VL),creamy soap x 90g x 3 (VL)
jab.esponja x 80 g (VL),sponge soap x 80 g (VL)
jab.fresh x 90g (VL),jab.fresh x 90g (VL)
jab.fresh x 90g x 3 (VL),jab.fresh x 90g x 3 (VL)
